rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__min_split_loss,params,split0_test_score,split0_train_score
21,0.389294403892944,0.0,0.6040794979079498,0.0,11.96396803855896,0.0,0.0469517707824707,0.0,0.8,3,1,100,"{'model__learning_rate': 0.8, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__min_split_loss': 100}",0.389294403892944,0.6040794979079498
21,0.389294403892944,0.0,0.6040794979079498,0.0,10.778955698013306,0.0,0.047872066497802734,0.0,0.8,3,5,100,"{'model__learning_rate': 0.8, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__min_split_loss': 100}",0.389294403892944,0.6040794979079498
25,0.3888888888888889,0.0,0.7858546168958742,0.0,28.596887350082397,0.0,0.09192156791687012,0.0,0.1,9,10,0,"{'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 0}",0.3888888888888889,0.7858546168958742
26,0.38666666666666666,0.0,0.6476964769647697,0.0,25.133532524108887,0.0,0.08146524429321289,0.0,0.1,9,10,50,"{'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 50}",0.38666666666666666,0.6476964769647697
27,0.3865979381443299,0.0,0.6319999999999999,0.0,10.487934827804565,0.0,0.03297615051269531,0.0,0.5,3,5,50,"{'model__learning_rate': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__min_split_loss': 50}",0.3865979381443299,0.6319999999999999
28,0.3859649122807018,0.0,0.7751937984496124,0.0,20.457136869430542,0.0,0.04299521446228027,0.0,0.3,9,5,10,"{'model__learning_rate': 0.3, 'model__max_depth': 9, 'model__min_child_weight': 5, 'model__min_split_loss': 10}",0.3859649122807018,0.7751937984496124
29,0.38567493112947654,0.0,0.664627363737486,0.0,15.453843593597412,0.0,0.034995079040527344,0.0,0.5,6,1,50,"{'model__learning_rate': 0.5, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__min_split_loss': 50}",0.38567493112947654,0.664627363737486
30,0.3856041131105399,0.0,0.6143162393162394,0.0,14.431401252746582,0.0,0.04188799858093262,0.0,0.01,6,10,0,"{'model__learning_rate': 0.01, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 0}",0.3856041131105399,0.6143162393162394
30,0.3856041131105399,0.0,0.6139882541377468,0.0,11.279829502105713,0.0,0.031914710998535156,0.0,0.01,6,10,10,"{'model__learning_rate': 0.01, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 10}",0.3856041131105399,0.6139882541377468
32,0.3846153846153845,0.0,0.6097560975609755,0.0,11.355627059936523,0.0,0.03091740608215332,0.0,0.01,6,10,50,"{'model__learning_rate': 0.01, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 50}",0.3846153846153845,0.6097560975609755
