rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
1,0.4166666666666667,0.0,0.7334643091028159,0.0,1.6795077323913574,0.0,0.14660859107971191,0.0,5,80,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 80}",0.4166666666666667,0.7334643091028159
2,0.40540540540540543,0.0,0.7334643091028159,0.0,5.2405030727386475,0.0,0.3091731071472168,0.0,10,2,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 2}",0.40540540540540543,0.7334643091028159
2,0.40540540540540543,0.0,0.7334643091028159,0.0,1.6505858898162842,0.0,0.10870838165283203,0.0,10,5,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 5}",0.40540540540540543,0.7334643091028159
2,0.40540540540540543,0.0,0.7334643091028159,0.0,1.6426024436950684,0.0,0.11169958114624023,0.0,10,10,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 10}",0.40540540540540543,0.7334643091028159
2,0.40540540540540543,0.0,0.7334643091028159,0.0,1.5668120384216309,0.0,0.11469101905822754,0.0,10,15,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 15}",0.40540540540540543,0.7334643091028159
2,0.40540540540540543,0.0,0.7334643091028159,0.0,1.6954655647277832,0.0,0.10073089599609375,0.0,10,20,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 20}",0.40540540540540543,0.7334643091028159
7,0.40384615384615385,0.0,0.7366362451108213,0.0,1.658564567565918,0.0,0.13164806365966797,0.0,5,100,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 100}",0.40384615384615385,0.7366362451108213
8,0.39923954372623577,0.0,0.7383419689119171,0.0,1.9238529205322266,0.0,0.12067794799804688,0.0,2,100,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 100}",0.39923954372623577,0.7383419689119171
9,0.39772727272727276,0.0,0.7378640776699029,0.0,1.8699982166290283,0.0,0.1216738224029541,0.0,1,100,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.39772727272727276,0.7378640776699029
10,0.3888888888888889,0.0,0.7174323473882945,0.0,1.4830327033996582,0.0,0.10272574424743652,0.0,10,50,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 50}",0.3888888888888889,0.7174323473882945
11,0.38617886178861793,0.0,0.7851239669421487,0.0,2.48136568069458,0.0,0.1904895305633545,0.0,2,50,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 50}",0.38617886178861793,0.7851239669421487
12,0.3846153846153846,0.0,0.7238095238095238,0.0,6.059309959411621,0.0,0.3500666618347168,0.0,10,30,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 30}",0.3846153846153846,0.7238095238095238
13,0.3819444444444445,0.0,0.6976744186046512,0.0,1.4640827178955078,0.0,0.10073137283325195,0.0,10,100,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 100}",0.3819444444444445,0.6976744186046512
14,0.37999999999999995,0.0,0.7561625582944704,0.0,1.893935203552246,0.0,0.12366867065429688,0.0,2,80,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 80}",0.37999999999999995,0.7561625582944704
15,0.37848605577689237,0.0,0.7801899592944369,0.0,3.418855667114258,0.0,0.5335721969604492,0.0,5,30,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 30}",0.37848605577689237,0.7801899592944369
16,0.375494071146245,0.0,0.7541528239202658,0.0,2.4544355869293213,0.0,0.15957307815551758,0.0,1,80,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 80}",0.375494071146245,0.7541528239202658
17,0.37344398340248963,0.0,0.784923928077455,0.0,1.7712626457214355,0.0,0.1386277675628662,0.0,1,50,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 50}",0.37344398340248963,0.784923928077455
18,0.3731343283582089,0.0,0.7160804020100502,0.0,1.475053071975708,0.0,0.09973335266113281,0.0,10,80,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 80}",0.3731343283582089,0.7160804020100502
19,0.37288135593220334,0.0,0.6901748040988548,0.0,1.4451348781585693,0.0,0.11820077896118164,0.0,15,2,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 2}",0.37288135593220334,0.6901748040988548
19,0.37288135593220334,0.0,0.6901748040988548,0.0,2.6813459396362305,0.0,0.12765860557556152,0.0,15,5,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 5}",0.37288135593220334,0.6901748040988548
19,0.37288135593220334,0.0,0.6901748040988548,0.0,5.341232061386108,0.0,0.37400102615356445,0.0,15,10,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 10}",0.37288135593220334,0.6901748040988548
19,0.37288135593220334,0.0,0.6901748040988548,0.0,1.4915297031402588,0.0,0.10571503639221191,0.0,15,15,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 15}",0.37288135593220334,0.6901748040988548
19,0.37288135593220334,0.0,0.6901748040988548,0.0,1.4531116485595703,0.0,0.12765884399414062,0.0,15,20,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 20}",0.37288135593220334,0.6901748040988548
19,0.37288135593220334,0.0,0.6901748040988548,0.0,5.008601903915405,0.0,0.32712554931640625,0.0,15,30,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 30}",0.37288135593220334,0.6901748040988548
25,0.3629032258064516,0.0,0.7817811012916385,0.0,2.0036396980285645,0.0,0.11469388008117676,0.0,5,2,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.3629032258064516,0.7817811012916385
25,0.3629032258064516,0.0,0.7817811012916385,0.0,2.2130815982818604,0.0,0.16356301307678223,0.0,5,5,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",0.3629032258064516,0.7817811012916385
25,0.3629032258064516,0.0,0.7817811012916385,0.0,2.7346832752227783,0.0,0.3171515464782715,0.0,5,10,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.3629032258064516,0.7817811012916385
28,0.3617021276595745,0.0,0.7942617214835549,0.0,2.570126533508301,0.0,0.21442747116088867,0.0,2,30,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 30}",0.3617021276595745,0.7942617214835549
29,0.35856573705179284,0.0,0.762768817204301,0.0,1.6695356369018555,0.0,0.1326460838317871,0.0,5,50,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 50}",0.35856573705179284,0.762768817204301
30,0.3583061889250814,0.0,0.6804733727810651,0.0,3.4278290271759033,0.0,0.09175491333007812,0.0,15,80,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 80}",0.3583061889250814,0.6804733727810651
31,0.3541666666666667,0.0,0.7782369146005509,0.0,3.1266374588012695,0.0,0.4338383674621582,0.0,5,15,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 15}",0.3541666666666667,0.7782369146005509
32,0.35398230088495575,0.0,0.806680881307747,0.0,2.553170680999756,0.0,0.19747233390808105,0.0,2,20,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 20}",0.35398230088495575,0.806680881307747
33,0.35369774919614144,0.0,0.6808762581409119,0.0,1.4830327033996582,0.0,0.11968016624450684,0.0,15,100,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 100}",0.35369774919614144,0.6808762581409119
34,0.353356890459364,0.0,0.6985294117647061,0.0,1.5039758682250977,0.0,0.10073065757751465,0.0,15,50,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 50}",0.353356890459364,0.6985294117647061
35,0.3508771929824561,0.0,0.815024805102764,0.0,2.4255125522613525,0.0,0.19447970390319824,0.0,1,30,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.3508771929824561,0.815024805102764
36,0.3469387755102041,0.0,0.7757452574525745,0.0,2.085421562194824,0.0,0.15658283233642578,0.0,5,20,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 20}",0.3469387755102041,0.7757452574525745
