rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
20,0.3601108033240997,0.0,0.6437644341801386,0.0,0.1495964527130127,0.0,0.0059854984283447266,0.0,30,10,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 10}",0.3601108033240997,0.6437644341801386
20,0.3601108033240997,0.0,0.6437644341801386,0.0,0.09175419807434082,0.0,0.0069789886474609375,0.0,30,15,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 15}",0.3601108033240997,0.6437644341801386
20,0.3601108033240997,0.0,0.6437644341801386,0.0,0.0887613296508789,0.0,0.005983114242553711,0.0,30,20,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 20}",0.3601108033240997,0.6437644341801386
20,0.3601108033240997,0.0,0.6437644341801386,0.0,0.08776617050170898,0.0,0.005982398986816406,0.0,30,30,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.3601108033240997,0.6437644341801386
20,0.3601108033240997,0.0,0.6437644341801386,0.0,0.08776450157165527,0.0,0.005982875823974609,0.0,30,50,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 50}",0.3601108033240997,0.6437644341801386
20,0.3601108033240997,0.0,0.6437644341801386,0.0,0.1027228832244873,0.0,0.006982088088989258,0.0,30,80,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 80}",0.3601108033240997,0.6437644341801386
20,0.3601108033240997,0.0,0.6437644341801386,0.0,0.11369442939758301,0.0,0.02792501449584961,0.0,30,100,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.3601108033240997,0.6437644341801386
29,0.3560830860534125,0.0,0.6693594922100404,0.0,0.1216738224029541,0.0,0.005987644195556641,0.0,10,50,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 50}",0.3560830860534125,0.6693594922100404
30,0.35502958579881655,0.0,0.6627906976744186,0.0,0.1057138442993164,0.0,0.0059850215911865234,0.0,20,2,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 2}",0.35502958579881655,0.6627906976744186
30,0.35502958579881655,0.0,0.6627906976744186,0.0,0.0917515754699707,0.0,0.009974002838134766,0.0,20,5,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 5}",0.35502958579881655,0.6627906976744186
30,0.35502958579881655,0.0,0.6627906976744186,0.0,0.09274840354919434,0.0,0.006982564926147461,0.0,20,10,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 10}",0.35502958579881655,0.6627906976744186
30,0.35502958579881655,0.0,0.6627906976744186,0.0,0.09074854850769043,0.0,0.0059854984283447266,0.0,20,15,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 15}",0.35502958579881655,0.6627906976744186
30,0.35502958579881655,0.0,0.6627906976744186,0.0,0.0857703685760498,0.0,0.0059816837310791016,0.0,20,20,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 20}",0.35502958579881655,0.6627906976744186
30,0.35502958579881655,0.0,0.6627906976744186,0.0,0.09474706649780273,0.0,0.005984067916870117,0.0,20,30,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 30}",0.35502958579881655,0.6627906976744186
30,0.35502958579881655,0.0,0.6616366802089381,0.0,0.11469340324401855,0.0,0.0059816837310791016,0.0,20,50,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 50}",0.35502958579881655,0.6616366802089381
37,0.3548387096774193,0.0,0.7048192771084337,0.0,0.09474635124206543,0.0,0.005982637405395508,0.0,1,50,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 50}",0.3548387096774193,0.7048192771084337
37,0.3548387096774193,0.0,0.7048192771084337,0.0,0.12167716026306152,0.0,0.006980419158935547,0.0,2,50,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 50}",0.3548387096774193,0.7048192771084337
39,0.35398230088495575,0.0,0.673187571921749,0.0,0.10172796249389648,0.0,0.006982088088989258,0.0,10,2,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 2}",0.35398230088495575,0.673187571921749
39,0.35398230088495575,0.0,0.673187571921749,0.0,0.0967400074005127,0.0,0.007977962493896484,0.0,10,5,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 5}",0.35398230088495575,0.673187571921749
39,0.35398230088495575,0.0,0.673187571921749,0.0,0.10272669792175293,0.0,0.005981922149658203,0.0,10,10,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 10}",0.35398230088495575,0.673187571921749
39,0.35398230088495575,0.0,0.673187571921749,0.0,0.09474730491638184,0.0,0.005984306335449219,0.0,10,15,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 15}",0.35398230088495575,0.673187571921749
39,0.35398230088495575,0.0,0.673187571921749,0.0,0.09474897384643555,0.0,0.005985736846923828,0.0,10,20,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 20}",0.35398230088495575,0.673187571921749
44,0.3488372093023256,0.0,0.6588921282798834,0.0,0.08975887298583984,0.0,0.004987239837646484,0.0,20,80,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 80}",0.3488372093023256,0.6588921282798834
