rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
27,0.29616724738675954,0.0,0.9612852793548915,0.0,2.1806957721710205,0.0,0.08477115631103516,0.0,100,15,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 15}",0.29616724738675954,0.9612852793548915
27,0.29616724738675954,0.0,0.9612852793548915,0.0,2.233555555343628,0.0,0.08776283264160156,0.0,100,20,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 20}",0.29616724738675954,0.9612852793548915
27,0.29616724738675954,0.0,0.9612852793548915,0.0,2.1926629543304443,0.0,0.0827789306640625,0.0,100,30,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.29616724738675954,0.9612852793548915
27,0.29616724738675954,0.0,0.9612852793548915,0.0,2.20862078666687,0.0,0.08477210998535156,0.0,100,50,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 50}",0.29616724738675954,0.9612852793548915
27,0.29616724738675954,0.0,0.9612852793548915,0.0,1.1459362506866455,0.0,0.05486488342285156,0.0,100,80,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 80}",0.29616724738675954,0.9612852793548915
27,0.29616724738675954,0.0,0.9612852793548915,0.0,1.1599009037017822,0.0,0.0558469295501709,0.0,100,100,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.29616724738675954,0.9612852793548915
36,0.29545454545454547,0.0,0.9663499439857268,0.0,2.8134753704071045,0.0,0.09175372123718262,0.0,30,100,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.29545454545454547,0.9663499439857268
37,0.28888888888888886,0.0,0.9735099337748346,0.0,2.8334238529205322,0.0,0.09075641632080078,0.0,30,80,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 80}",0.28888888888888886,0.9735099337748346
38,0.27227722772277224,0.0,0.9750270090584228,0.0,2.7267098426818848,0.0,0.09075617790222168,0.0,20,2,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 2}",0.27227722772277224,0.9750270090584228
38,0.27227722772277224,0.0,0.9750270090584228,0.0,2.749650001525879,0.0,0.0887594223022461,0.0,20,5,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 5}",0.27227722772277224,0.9750270090584228
38,0.27227722772277224,0.0,0.9750270090584228,0.0,2.7257142066955566,0.0,0.09075522422790527,0.0,20,10,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 10}",0.27227722772277224,0.9750270090584228
38,0.27227722772277224,0.0,0.9750270090584228,0.0,2.8234996795654297,0.0,0.11170148849487305,0.0,20,15,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 15}",0.27227722772277224,0.9750270090584228
