rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
10,0.3558718861209965,0.0,0.9629994661410209,0.0,0.16755032539367676,0.0,0.003990650177001953,0.0,80,15,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 15}",0.3558718861209965,0.9629994661410209
10,0.3558718861209965,0.0,0.9629994661410209,0.0,0.16954421997070312,0.0,0.0039904117584228516,0.0,80,20,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 20}",0.3558718861209965,0.9629994661410209
10,0.3558718861209965,0.0,0.9629994661410209,0.0,0.1745312213897705,0.0,0.003991127014160156,0.0,80,30,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 30}",0.3558718861209965,0.9629994661410209
10,0.3558718861209965,0.0,0.9629994661410209,0.0,0.1765284538269043,0.0,0.00797891616821289,0.0,80,50,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 50}",0.3558718861209965,0.9629994661410209
10,0.3558718861209965,0.0,0.9629994661410209,0.0,0.16954803466796875,0.0,0.0029935836791992188,0.0,80,80,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 80}",0.3558718861209965,0.9629994661410209
10,0.3558718861209965,0.0,0.9629994661410209,0.0,0.16156482696533203,0.0,0.0029935836791992188,0.0,80,100,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 100}",0.3558718861209965,0.9629994661410209
19,0.34965034965034963,0.0,0.9699565538158867,0.0,0.21028709411621094,0.0,0.007979154586791992,0.0,50,2,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 2}",0.34965034965034963,0.9699565538158867
19,0.34965034965034963,0.0,0.9699565538158867,0.0,0.21243000030517578,0.0,0.005984783172607422,0.0,50,5,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 5}",0.34965034965034963,0.9699565538158867
19,0.34965034965034963,0.0,0.9699565538158867,0.0,0.21741557121276855,0.0,0.0069887638092041016,0.0,50,10,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 10}",0.34965034965034963,0.9699565538158867
19,0.34965034965034963,0.0,0.9699565538158867,0.0,0.20046520233154297,0.0,0.006980180740356445,0.0,50,15,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 15}",0.34965034965034963,0.9699565538158867
